0820,2902,1,,SAR,فرق تامينات,2,2/2/2008 12:00:00 AM,2/2/2008 12:00:00 AM,,
0883,1323,1,,SAR,فرق تامينات,2,2/2/2008 12:00:00 AM,2/2/2008 12:00:00 AM,,
1444,756,1,,SAR,فرق تامينات,2,3/6/2008 12:00:00 AM,3/6/2008 12:00:00 AM,,
0931,880,1,,SAR,سلفة شخصية حسب افادة السيد/طاهر لصالح فرع اليمامة 2,2,3/25/2010 12:00:00 AM,4/1/2010 12:00:00 AM,,
1731,7800,1,,SAR,نقل كفالة وتجديد لصالح جملة العطور بموجب التعميد المرفق بملفه,2,4/15/2013 12:00:00 AM,6/1/2013 12:00:00 AM,,
1886,4000,1,,SAR,سلفة رسوم نقل كفالة شيك رقم 62,2,5/29/2014 12:00:00 AM,8/1/2014 12:00:00 AM,,
7124,500,1,,SAR,شخصية لصالح الادارة حسب الكمبيلات المرفقة بملفه,2,4/4/2012 12:00:00 AM,5/6/2012 12:00:00 AM,,
1684,4001,1,,SAR,شخصية لصالح الادارة حسب الكمبيالة المرفقة بملفه,2,4/16/2012 12:00:00 AM,5/10/2012 12:00:00 AM,,
1687,7800,1,,SAR,شخصية لصالح مكة 2 حسب الكمبيالة المرفقة بملفه + تجديد اقامة,2,4/24/2012 12:00:00 AM,6/1/2012 12:00:00 AM,,
1705,14350,1,,SAR,شخصي لصالح العطور - حائل حسب التعميد المرفق بملفه,2,7/22/2012 12:00:00 AM,9/1/2012 12:00:00 AM,,
1708,5500,1,,SAR,شخصية لصالح المدينة 5 بموجب التعميد المرفق بملفه,2,8/6/2012 12:00:00 AM,9/1/2012 12:00:00 AM,,
1706,600,1,,SAR,فرق استلام راتب شهر رمضان كاملا لعام 1433هـ لصالح فرع المدينة 5,2,9/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM,,
1644,6000,1,,SAR,شخصية لصالح مكتب الجملة بموجب الكمبيالة والتعميد المرفق بملفها,2,11/12/2012 12:00:00 AM,1/1/2013 12:00:00 AM,,
1717,14450,1,,SAR,شخصية لصالح الالماس المركز حسب الرقم الوظيفي 9005,2,12/31/2012 12:00:00 AM,2/1/2013 12:00:00 AM,,
